Country,State,Year,Month,"Food Grains Allocated (UOM:MT(MetricTonne)), Scaling Factor:1000","Ration Cards Issued (UOM:Number), Scaling Factor:1","Transaction For Ration Cards (UOM:Number), Scaling Factor:1","Aadhaar Authenticated Transactions (UOM:Number), Scaling Factor:1","Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)), Scaling Factor:1","Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(MetricTonne)), Scaling Factor:1000","Manual Distribution Of Food Grains (UOM:MT(MetricTonne)), Scaling Factor:1000","Distribution Of Food Grains (UOM:MT(MetricTonne)), Scaling Factor:1000"
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","August, 2022",144959.47,5999000,5755283,5251657,91.25,136973.21,0,136973.21
India,Karnataka,"Calendar Year (Jan - Dec), 2022","August, 2022",217403,11498218,10829851,10829849,100,206780.29,122.84,206903.13
India,Kerala,"Calendar Year (Jan - Dec), 2022","August, 2022",85459.89,4082762,4263649,3936728,92.33,84286.94,57.79,84344.73
India,Ladakh,"Calendar Year (Jan - Dec), 2022","August, 2022",0,28961,27073,5896,21.78,697.49,0,697.49
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","August, 2022",297039.11,11934167,11197431,10836855,96.78,261202.97,22.59,261225.56
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","August, 2022",383766,15460735,13399013,13399013,100,320766.79,0,320766.79
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","August, 2022",10800.27,421528,378838,32072,8.47,10622.92,1132.08,11755
India,Mizoram,"Calendar Year (Jan - Dec), 2022","August, 2022",3827.96,166993,152466,135752,89.04,3637.53,0,3637.53
India,Nagaland,"Calendar Year (Jan - Dec), 2022","August, 2022",7632.11,314428,276558,65939,23.84,5685.67,0,5685.67
India,Odisha,"Calendar Year (Jan - Dec), 2022","August, 2022",179926.06,9304196,8648247,7755683,89.68,174535.84,0,174535.84
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","August, 2022",232631,10347839,9804835,9804738,100,214377.48,0,214377.48
India,Sikkim,"Calendar Year (Jan - Dec), 2022","August, 2022",2197.94,95018,56288,56271,99.97,1371.44,1179.77,2551.21
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","August, 2022",202114.13,11508210,10362276,9945644,95.98,191519.06,0,191519.06
India,Telangana,"Calendar Year (Jan - Dec), 2022","August, 2022",108004.23,5438107,4776103,4776103,100,101583.91,0,101583.91
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","August, 2022",451.98,60408,50728,50728,100,1261.5,0,1261.5
India,Tripura,"Calendar Year (Jan - Dec), 2022","August, 2022",13761.1,596265,523011,521372,99.69,13399.65,0,13399.65
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","August, 2022",811798.34,35914087,33603791,33473088,99.61,783707.08,0,783707.08
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","August, 2022",33454.8,1356226,1086285,998412,91.91,25883.53,3920.01,29803.55
India,West Bengal,"Calendar Year (Jan - Dec), 2022","August, 2022",330516.44,55850358,13667540,13435325,98.3,314770.52,0,314770.52
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","July, 2022",332.7,16742,15954,15056,94.37,347.91,0,347.91
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",154148.03,8872958,8354997,8354997,100,145464.57,0,145464.57
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",4677.46,180490,149258,8876,5.95,3982.44,881.62,4864.06
India,Assam,"Calendar Year (Jan - Dec), 2022","July, 2022",135479.33,5865421,4040923,4040923,100,95073.95,51764.05,146838
India,Bihar,"Calendar Year (Jan - Dec), 2022","July, 2022",457821.73,18416985,16650421,16623403,99.84,432439.65,0,432439.65
India,Delhi,"Calendar Year (Jan - Dec), 2022","July, 2022",37572.75,1782086,1599417,1599417,100,37751.97,0,37751.97
India,Goa,"Calendar Year (Jan - Dec), 2022","July, 2022",2856.63,143068,113924,108982,95.66,2437.11,0,2437.11
India,Gujarat,"Calendar Year (Jan - Dec), 2022","July, 2022",198288.02,7433353,6902156,6750137,97.8,175741.78,0,175741.78
India,Haryana,"Calendar Year (Jan - Dec), 2022","July, 2022",66250,2837466,4948008,4948008,100,60887.5,0,60887.5
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","July, 2022",39798.05,1643093,1501395,1372999,91.45,33980.07,0,33980.07
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","July, 2022",144959.47,5982586,5773586,5271168,91.3,138424.89,0,138424.89
India,Karnataka,"Calendar Year (Jan - Dec), 2022","July, 2022",217403,11502887,10846668,10846664,100,207447.31,133.16,207580.47
India,Kerala,"Calendar Year (Jan - Dec), 2022","July, 2022",85459.89,4070474,4030033,3646492,90.48,82209.37,53.77,82263.14
India,Ladakh,"Calendar Year (Jan - Dec), 2022","July, 2022",0,28957,26792,5479,20.45,688.3,0,688.3
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",297039.11,11918650,11306369,10974084,97.06,263087.2,2510.53,265597.73
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","July, 2022",383766,15417617,13253045,13253045,100,317512.66,0,317512.66
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","July, 2022",10800.27,421525,381366,23699,6.21,10660.39,1232.49,11892.87
India,Mizoram,"Calendar Year (Jan - Dec), 2022","July, 2022",3827.96,166763,164198,121385,73.93,3854.12,0,3854.12
India,Nagaland,"Calendar Year (Jan - Dec), 2022","July, 2022",7632.11,311305,275932,63223,22.91,5660.82,0,5660.82
India,Odisha,"Calendar Year (Jan - Dec), 2022","July, 2022",179926.06,9306426,8573466,7306741,85.23,175944.88,0,175944.88
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","July, 2022",232631,10372259,9815695,9815572,100,214595.47,0,214595.47
India,Sikkim,"Calendar Year (Jan - Dec), 2022","July, 2022",2197.94,94575,45057,45057,100,1106.06,1266.6,2372.66
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","July, 2022",202114.13,11514013,10344839,9901269,95.71,191813.8,0,191813.8
India,Telangana,"Calendar Year (Jan - Dec), 2022","July, 2022",108004.23,5436912,4722047,4722047,100,101554.98,0,101554.98
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","July, 2022",451.98,60297,51116,51116,100,1268.19,0,1268.19
India,Tripura,"Calendar Year (Jan - Dec), 2022","July, 2022",13761.1,596090,522582,520940,99.69,13409.63,0,13409.63
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",811798.34,36166125,33399899,33328175,99.79,776825.28,0,776825.28
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","July, 2022",33454.8,1384888,1096728,1007165,91.83,26151.79,5463.02,31614.82
India,West Bengal,"Calendar Year (Jan - Dec), 2022","July, 2022",330516.44,54677205,13689366,13402897,97.91,311710.88,0,311710.88
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","June, 2022",332.7,16751,15120,14236,94.15,332.71,0,332.71
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",154148.03,8871606,8315207,8315207,100,144827.73,0,144827.73
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",4677.46,180490,137513,6425,4.67,3661.78,1066.77,4728.55
India,Assam,"Calendar Year (Jan - Dec), 2022","June, 2022",135479.33,5885527,3445594,3445594,100,81305.52,50876.27,132181.79
India,Bihar,"Calendar Year (Jan - Dec), 2022","June, 2022",457821.73,18380683,16715739,16683577,99.81,433099.71,0,433099.71
India,Delhi,"Calendar Year (Jan - Dec), 2022","June, 2022",37572.75,1781955,1604749,1604749,100,37616.76,0,37616.76
India,Goa,"Calendar Year (Jan - Dec), 2022","June, 2022",2856.63,143068,132994,128198,96.39,2769.59,0,2769.59
India,Gujarat,"Calendar Year (Jan - Dec), 2022","June, 2022",198288.02,7428004,6819737,6665226,97.73,176269.56,0,176269.56
India,Haryana,"Calendar Year (Jan - Dec), 2022","June, 2022",66250,2804022,4899089,4899089,100,60313.97,0,60313.97
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","June, 2022",39798.05,1642342,1494695,1366301,91.41,33784.48,0,33784.48
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","June, 2022",144959.47,5962949,5878011,5351299,91.04,138691.58,0,138691.58
India,Karnataka,"Calendar Year (Jan - Dec), 2022","June, 2022",217403,11482735,10843056,10843054,100,207013.12,103.18,207116.3
India,Kerala,"Calendar Year (Jan - Dec), 2022","June, 2022",85459.89,4067968,3982950,3654121,91.74,81923.23,55.4,81978.63
India,Ladakh,"Calendar Year (Jan - Dec), 2022","June, 2022",0,28898,27049,4676,17.29,692.4,0,692.4
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",297039.11,11898268,10971592,10662325,97.18,258202.3,7.55,258209.85
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","June, 2022",383766,15401560,13042029,13042029,100,312688.14,1654.62,314342.76
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","June, 2022",10800.27,421521,374327,20977,5.6,10464.5,1513.78,11978.28
India,Mizoram,"Calendar Year (Jan - Dec), 2022","June, 2022",3827.96,166633,163467,121944,74.6,3848.22,0,3848.22
India,Nagaland,"Calendar Year (Jan - Dec), 2022","June, 2022",7632.11,308646,275072,63832,23.21,5634.5,0,5634.5
India,Odisha,"Calendar Year (Jan - Dec), 2022","June, 2022",179926.06,9306421,9147275,7982325,87.26,175521.76,0,175521.76
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","June, 2022",232631,10404665,9835107,9834937,100,214941.77,0,214941.77
India,Sikkim,"Calendar Year (Jan - Dec), 2022","June, 2022",2197.94,94417,53961,53957,99.99,1324.12,885.44,2209.56
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","June, 2022",202114.13,11516204,10387653,9913494,95.44,192047.75,0,192047.75
India,Telangana,"Calendar Year (Jan - Dec), 2022","June, 2022",108004.23,5390263,4516355,4516355,100,96312.48,0,96312.48
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","June, 2022",451.98,60198,50122,50122,100,1244.92,0,1244.92
India,Tripura,"Calendar Year (Jan - Dec), 2022","June, 2022",13761.1,595939,592362,588764,99.39,13431.2,0,13431.2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",811798.34,36167456,33860889,33731065,99.62,783110.62,17497.07,800607.69
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","June, 2022",33454.8,1408929,1069674,946855,88.52,25526.05,7642.42,33168.46
India,West Bengal,"Calendar Year (Jan - Dec), 2022","June, 2022",330516.44,54791341,13655154,13331358,97.63,312643.97,0,312643.97
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","May, 2022",332.7,16795,15915,14414,90.57,347.05,0,347.05
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",154148.03,8873808,8300812,8300812,100,144494.8,0,144494.8
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",4677.46,180490,139293,7837,5.63,3707.05,1147.12,4854.17
India,Assam,"Calendar Year (Jan - Dec), 2022","May, 2022",135479.33,5888188,3368819,3368815,100,80061.37,68890.69,148952.06
India,Bihar,"Calendar Year (Jan - Dec), 2022","May, 2022",457821.73,18328380,16728640,16701408,99.84,433297.06,0,433297.06
India,Delhi,"Calendar Year (Jan - Dec), 2022","May, 2022",37572.75,1781316,1577666,1577666,100,36218.71,0,36218.71
India,Goa,"Calendar Year (Jan - Dec), 2022","May, 2022",2856.63,143079,128619,123947,96.37,2695.45,0,2695.45
India,Gujarat,"Calendar Year (Jan - Dec), 2022","May, 2022",198288.02,7411587,6792247,6621054,97.48,176863.46,0,176863.46
India,Haryana,"Calendar Year (Jan - Dec), 2022","May, 2022",66250,2818267,4962384,4962384,100,61030.94,0,61030.94
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","May, 2022",39798.05,1639487,1486145,1356234,91.26,33568.78,0,33568.78
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","May, 2022",144959.47,5946894,10193403,9305862,91.29,138146.18,0,138146.18
India,Karnataka,"Calendar Year (Jan - Dec), 2022","May, 2022",217403,11504759,10833803,10833801,100,206545.85,137.18,206683.04
India,Kerala,"Calendar Year (Jan - Dec), 2022","May, 2022",85459.89,3971990,3970113,3649930,91.94,81691.11,57.93,81749.03
India,Ladakh,"Calendar Year (Jan - Dec), 2022","May, 2022",0,28898,20561,3742,18.2,504.09,0,504.09
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",297039.11,11848638,11042250,10727556,97.15,257884.73,9.37,257894.1
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","May, 2022",383766,15396336,13234575,13234575,100,317876.32,0,317876.32
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","May, 2022",10800.27,421516,381870,22412,5.87,10677.51,988.11,11665.61
India,Mizoram,"Calendar Year (Jan - Dec), 2022","May, 2022",3827.96,166347,163578,120255,73.52,3856.17,0,3856.17
India,Nagaland,"Calendar Year (Jan - Dec), 2022","May, 2022",7632.11,306634,272190,63277,23.25,5575.65,0,5575.65
India,Odisha,"Calendar Year (Jan - Dec), 2022","May, 2022",179926.06,9313440,9210667,8047625,87.37,176750.56,0,176750.56
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","May, 2022",232631,10419805,9771820,9771650,100,214250.69,0,214250.69
India,Sikkim,"Calendar Year (Jan - Dec), 2022","May, 2022",2197.94,94272,51133,51133,100,1256.2,1575.44,2831.64
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","May, 2022",202114.13,11519126,10348566,9861177,95.29,190530.46,0,190530.46
India,Telangana,"Calendar Year (Jan - Dec), 2022","May, 2022",108004.23,5388092,4555451,4555451,100,97184.04,0,97184.04
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","May, 2022",451.98,60132,50571,50571,100,1252.34,0,1252.34
India,Tripura,"Calendar Year (Jan - Dec), 2022","May, 2022",13761.1,595906,598180,594590,99.4,13449.35,0,13449.35
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",811798.34,36154484,33024094,32952344,99.78,770345.7,0,770345.7
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","May, 2022",33454.8,1411881,1111439,692864,62.34,26231.32,7783.75,34015.07
India,West Bengal,"Calendar Year (Jan - Dec), 2022","May, 2022",330516.44,55212138,13561774,13168197,97.1,310024.23,0,310024.23
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","April, 2022",332.7,16795,15912,14412,90.57,346.86,0,346.86
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","April, 2022",154148.03,8937079,8240371,8240371,100,143476.97,0,143476.97
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","April, 2022",4677.46,180487,127064,5865,4.62,3382.45,1066.83,4449.27
India,Assam,"Calendar Year (Jan - Dec), 2022","April, 2022",135479.33,5888283,2419322,2419322,100,57991.19,110610.31,168601.5
India,Bihar,"Calendar Year (Jan - Dec), 2022","April, 2022",457821.73,18271836,16722328,16694856,99.84,435348.51,0,435348.51
India,Delhi,"Calendar Year (Jan - Dec), 2022","April, 2022",37572.75,1781035,1585502,1585502,100,37698.05,0,37698.05
India,Goa,"Calendar Year (Jan - Dec), 2022","April, 2022",2856.63,143053,134802,130067,96.49,2803.95,0,2803.95
India,Gujarat,"Calendar Year (Jan - Dec), 2022","April, 2022",198288.02,7386262,6904662,6716990,97.28,175925.25,0,175925.25
India,Haryana,"Calendar Year (Jan - Dec), 2022","April, 2022",66250,2700279,4824750,4824750,100,59817.08,0,59817.08
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","April, 2022",39798.05,1639876,1491107,1356291,90.96,33572.1,0,33572.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","April, 2022",144959.47,5944537,6028149,5390930,89.43,138116.74,0,138116.74
India,Karnataka,"Calendar Year (Jan - Dec), 2022","April, 2022",217403,11515438,10788073,10788073,100,205269.92,156.86,205426.78
India,Kerala,"Calendar Year (Jan - Dec), 2022","April, 2022",85459.89,3970740,3985682,3721437,93.37,80621.91,54.68,80676.58
India,Ladakh,"Calendar Year (Jan - Dec), 2022","April, 2022",0,28857,16536,3667,22.18,406.53,0,406.53
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","April, 2022",297039.11,11792552,10962440,10634853,97.01,253403.51,15.84,253419.34
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","April, 2022",383766,15371406,13194401,13194401,100,313576.8,0,313576.8
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","April, 2022",10800.27,421509,368637,20168,5.47,10303.43,1621.03,11924.46
India,Mizoram,"Calendar Year (Jan - Dec), 2022","April, 2022",3827.96,166094,163287,115272,70.59,3849.71,0,3849.71
India,Nagaland,"Calendar Year (Jan - Dec), 2022","April, 2022",7632.11,304626,267526,60660,22.67,5477.36,0,5477.36
India,Odisha,"Calendar Year (Jan - Dec), 2022","April, 2022",179926.06,9313438,9027702,7915501,87.68,174833.48,0,174833.48
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","April, 2022",232631,10456660,9752892,9752735,100,214131.57,0,214131.57
India,Sikkim,"Calendar Year (Jan - Dec), 2022","April, 2022",2197.94,94301,48793,48793,100,1201.37,993.84,2195.2
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","April, 2022",202114.13,11463553,10333697,9796179,94.8,193150.48,0,193150.48
India,Telangana,"Calendar Year (Jan - Dec), 2022","April, 2022",108004.23,5386065,4726465,4726465,100,100925.79,0,100925.79
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","April, 2022",451.98,60171,50954,50954,100,1255.78,0,1255.78
India,Tripura,"Calendar Year (Jan - Dec), 2022","April, 2022",13761.1,595911,590354,586777,99.39,13264.25,0,13264.25
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","April, 2022",811798.34,36153726,33593678,33459888,99.6,781676.82,5.48,781682.29
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","April, 2022",33454.8,1411789,1062941,255520,24.04,25076.13,7191.19,32267.32
India,West Bengal,"Calendar Year (Jan - Dec), 2022","April, 2022",330516.44,53569034,13554732,13041598,96.21,304370.56,182.14,304552.7
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","March, 2022",332.7,16759,15382,13900,90.37,339.39,0,339.39
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","March, 2022",154148.03,8935626,8326985,8326985,100,136869.2,0,136869.2
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","March, 2022",4677.46,180487,138840,9007,6.49,3697.85,1146.93,4844.78
India,Assam,"Calendar Year (Jan - Dec), 2022","March, 2022",135479.33,5246113,751656,751656,100,20240.73,110883.69,131124.43
India,Bihar,"Calendar Year (Jan - Dec), 2022","March, 2022",457821.73,18219895,16778211,16751876,99.84,436156.79,0,436156.79
India,Delhi,"Calendar Year (Jan - Dec), 2022","March, 2022",37572.75,1780534,1749740,1749740,100,37821.83,0,37821.83
India,Goa,"Calendar Year (Jan - Dec), 2022","March, 2022",2856.63,143029,135806,131239,96.64,2821.12,0,2821.12
India,Gujarat,"Calendar Year (Jan - Dec), 2022","March, 2022",198288.02,7360273,6879599,6665831,96.89,175678.83,0,175678.83
India,Haryana,"Calendar Year (Jan - Dec), 2022","March, 2022",66250,2784701,4880653,4880653,100,60582.85,0,60582.85
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","March, 2022",39798.05,1640466,521041,450881,86.53,33779.02,0,33779.02
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","March, 2022",144959.47,5936071,5480560,4894711,89.31,136705.26,0,136705.26
India,Karnataka,"Calendar Year (Jan - Dec), 2022","March, 2022",217403,11571015,10485733,10485733,100,206955.37,399.19,207354.56
India,Kerala,"Calendar Year (Jan - Dec), 2022","March, 2022",85459.89,3967873,3921579,3657748,93.27,81762.06,60.48,81822.54
India,Ladakh,"Calendar Year (Jan - Dec), 2022","March, 2022",0,28715,20067,3050,15.2,408.75,0,408.75
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","March, 2022",297039.11,11736446,10534186,10230351,97.12,248571.97,0.03,248572
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","March, 2022",383766,15352732,13524659,13524659,100,328731.89,0,328731.89
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","March, 2022",10800.27,421505,376146,21436,5.7,10507.43,1372.59,11880.03
India,Mizoram,"Calendar Year (Jan - Dec), 2022","March, 2022",3827.96,165845,162332,116133,71.54,3829.25,0,3829.25
India,Nagaland,"Calendar Year (Jan - Dec), 2022","March, 2022",7632.11,304492,265303,60127,22.66,5444.31,0,5444.31
India,Odisha,"Calendar Year (Jan - Dec), 2022","March, 2022",179926.06,9313435,8979317,7800004,86.87,176924.96,0,176924.96
India,Punjab,"Calendar Year (Jan - Dec), 2022","March, 2022",72510,4002761,6398517,6392283,99.9,272293.11,0,272293.11
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","March, 2022",232631,10476906,9805691,9805539,100,215677.36,0,215677.36
India,Sikkim,"Calendar Year (Jan - Dec), 2022","March, 2022",2197.94,94065,53445,53445,100,1323.05,874.69,2197.75
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","March, 2022",202114.13,11441934,10284780,9740178,94.7,182422.53,0,182422.53
India,Telangana,"Calendar Year (Jan - Dec), 2022","March, 2022",108004.23,5439207,4749622,4749622,100,100360.8,0,100360.8
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","March, 2022",451.98,59943,50684,50684,100,1255.29,0,1255.29
India,Tripura,"Calendar Year (Jan - Dec), 2022","March, 2022",13761.1,596285,602577,598666,99.35,13545.53,0,13545.53
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","March, 2022",811798.34,36113875,33609810,33494892,99.66,776354.87,195.08,776549.94
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","March, 2022",33454.8,1411862,1046475,185243,17.7,24537.16,10059.34,34596.5
India,West Bengal,"Calendar Year (Jan - Dec), 2022","March, 2022",330516.44,56230042,13447234,13002995,96.7,302846.01,253.21,303099.22
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","February, 2022",332.7,16759,16174,14676,90.74,347.95,0,347.95
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","February, 2022",154148.03,8933240,8326656,8326656,100,136783.17,0,136783.17
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","February, 2022",4677.46,180487,134085,8157,6.08,3575.39,916.68,4492.06
India,Assam,"Calendar Year (Jan - Dec), 2022","February, 2022",135479.33,5887061,226555,226555,100,5588.87,124244.03,129832.89
India,Bihar,"Calendar Year (Jan - Dec), 2022","February, 2022",457821.73,18157660,16715776,16689128,99.84,435482.65,0,435482.65
India,Delhi,"Calendar Year (Jan - Dec), 2022","February, 2022",37572.75,1780205,1763845,1763370,99.97,37986.05,0,37986.05
India,Goa,"Calendar Year (Jan - Dec), 2022","February, 2022",2856.63,142975,136445,131750,96.56,2837.51,0,2837.51
India,Gujarat,"Calendar Year (Jan - Dec), 2022","February, 2022",198288.02,7333030,6763955,6520224,96.4,174172.85,0,174172.85
India,Haryana,"Calendar Year (Jan - Dec), 2022","February, 2022",66250,2691063,4815043,4815043,100,60468.78,0,60468.78
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","February, 2022",39798.05,1637729,1497082,1355608,90.55,33678.21,0,33678.21
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","February, 2022",144959.47,5928193,5684497,5048447,88.81,140442.19,0,140442.19
India,Karnataka,"Calendar Year (Jan - Dec), 2022","February, 2022",217403,11789389,10268820,10268820,100,204534.67,405.05,204939.72
India,Kerala,"Calendar Year (Jan - Dec), 2022","February, 2022",85459.89,3965362,3900848,3638748,93.28,81025.02,59.26,81084.28
India,Ladakh,"Calendar Year (Jan - Dec), 2022","February, 2022",0,28715,19925,3032,15.22,416.16,0,416.16
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","February, 2022",297039.11,11599211,12160667,11777509,96.85,258027.88,0,258027.88
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","February, 2022",383766,15343375,11160090,11160090,100,334530.04,0,334530.04
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","February, 2022",10800.27,421505,368528,19643,5.33,10286.64,1639.08,11925.72
India,Mizoram,"Calendar Year (Jan - Dec), 2022","February, 2022",3827.96,165583,160071,38270,23.91,3779.88,0,3779.88
India,Nagaland,"Calendar Year (Jan - Dec), 2022","February, 2022",7632.11,303753,261490,56803,21.72,5371.51,0,5371.51
India,Odisha,"Calendar Year (Jan - Dec), 2022","February, 2022",179926.06,9318192,7282703,6377796,87.57,143820.25,222.77,144043.02
India,Punjab,"Calendar Year (Jan - Dec), 2022","February, 2022",72510,4002761,2081137,2079198,99.91,117428.8,0,117428.8
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","February, 2022",232631,10505647,9781599,9781497,100,215826.39,0,215826.39
India,Sikkim,"Calendar Year (Jan - Dec), 2022","February, 2022",2197.94,93861,51015,51015,100,1261.68,987.37,2249.04
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","February, 2022",202114.13,11355870,10216925,9321562,91.24,180705.59,0,180705.59
India,Telangana,"Calendar Year (Jan - Dec), 2022","February, 2022",108004.23,5439207,4722139,4722139,100,99780.04,0,99780.04
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","February, 2022",451.98,59783,50231,50231,100,1247.2,0,1247.2
India,Tripura,"Calendar Year (Jan - Dec), 2022","February, 2022",13761.1,596119,591727,587835,99.34,13309.78,0,13309.78
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","February, 2022",811798.34,36015662,34219065,34077488,99.59,788338.79,152.33,788491.12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","February, 2022",33454.8,1411867,982283,166902,16.99,23067.42,9493.51,32560.93
India,West Bengal,"Calendar Year (Jan - Dec), 2022","February, 2022",330516.44,54824525,14028821,13035384,92.92,309124.23,182.62,309306.84
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","October, 2021",202114.13,0,1,0,0,0.02,0,0.02
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","September, 2021",332.7,16783,3317,3314,99.91,58.34,0,58.34
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","September, 2021",154148.03,8933949,8160184,8160184,100,134193.35,0,134193.35
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","September, 2021",4677.46,175964,8002,465,5.81,225.4,572.9,798.3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","September, 2021",115338,5118868,3055571,4176,0.14,77616.21,0,77616.21
India,Gujarat,"Calendar Year (Jan - Dec), 2021","September, 2021",198288.02,7234358,244,244,100,6.96,0,6.96
India,Haryana,"Calendar Year (Jan - Dec), 2021","September, 2021",66250,2702306,498792,498792,100,12070.36,0,12070.36
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","September, 2021",16857.47,718856,212581,200815,94.47,4860.89,0,4860.89
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","September, 2021",38927.5416825744386438080050,1582620.01895479678136256510,513442.26388437887360466840,473293.09065994619454093570,92.18,11982.5724428364866579927730,0,11982.5724428364866579927730
